"danishPhrase","englishTranslation","situationalContext","languageLevel"
"Algoritmen analyserer brugernes adfærdsmønstre for at optimere brugeroplevelsen","The algorithm analyzes users' behavioral patterns to optimize the user experience","Specialized Terminology","B2"
"At falde i staver betyder at dagdrømme eller være fraværende i tankerne","To 'falde i staver' means to daydream or be absent in thought","Humor & Idioms","B1"
"Baseret på de empiriske data kan vi konkludere, at hypotesen er bekræftet","Based on the empirical data, we can conclude that the hypothesis is confirmed","Academic Discussions","B2"
"Biblioteket har mange gode bøger om emnet","The library has many good books on the subject","Education","A2"
"Biblioteket har åbent til klokken syv om aftenen","The library is open until seven in the evening","Local Community","A2"
"Billedet hænger på en kridhvid væg over en antik kommode","The picture hangs on a chalk-white wall above an antique dresser","Detailed Descriptions","B1"
"Butikken åbner klokken ti","The store opens at ten o'clock","Numbers/Time","A1"
"Børnene leger ofte i parken efter skole","The children often play in the park after school","Local Community","A2"
"Da jeg var barn, boede vi på landet","When I was a child, we lived in the countryside","Past Experiences","A2"
"De er tvillinger","They are twins","Family","A1"
"De sociale mediers algoritmer forstærker eksisterende holdninger og bidrager til polarisering","Social media algorithms amplify existing attitudes and contribute to polarization","Media & Digital Communication","B2"
"Debatten om indvandring afspejler grundlæggende værdimæssige forskelle i samfundet","The debate on immigration reflects fundamental value differences in society","Social Issues & Politics","B2"
"Dejligt at møde dig","Nice to meet you","Introductions","A1"
"Dejligt vejr i dag","Nice weather today","Small Talk","A1"
"Den er for lille","It's too small","Basic Shopping","A1"
"Den sidste bus kører klokken 23:30","The last bus runs at 11:30 PM","Transportation","A2"
"Der er en brand!","There's a fire!","Emergency","A1"
"Der er en god cykelsti langs floden","There is a good bike path along the river","Local Community","A2"
"Der er en god festival i vores lokalområde næste måned","There's a good festival in our local area next month","Local Community","A2"
"Der er en interessant dokumentar på tv i aften","There is an interesting documentary on TV tonight","Cultural Activities","A2"
"Der er en interessant festival næste weekend","There is an interesting festival next weekend","Cultural Activities","A2"
"Der er en park i nærheden","There is a park nearby","Simple Directions","A1"
"Der er et marked på torvet hver lørdag","There is a market in the square every Saturday","Local Community","A2"
"Der er et problem med opvarmningen","There is a problem with the heating","Home & Housing","A2"
"Der er intet varmt vand","There is no hot water","Accommodation","A1"
"Der er mange caféer i vores nabolag","There are many cafés in our neighborhood","Local Community","A2"
"Der er mange nye ansatte i vores afdeling","There are many new employees in our department","Work Environment","A2"
"Der er ofte forsinkelser på denne rute","There are often delays on this route","Transportation","A2"
"Der er sket en ulykke","There has been an accident","Emergency","A1"
"Det bliver regnvejr i morgen","It will be rainy tomorrow","Weather","A1"
"Det blæser for meget til at sidde udenfor","It's too windy to sit outside","Weather","A2"
"Det blæser meget","It's very windy","Weather","A1"
"Det blæser meget i dag","It's very windy today","Weather","A1"
"Det er bag ved skolen","It's behind the school","Simple Directions","A1"
"Det er beskidt","It's dirty","Basic Communication","A1"
"Det er billigt","It's cheap","Basic Shopping","A1"
"Det er cirka fem minutter herfra","It's about five minutes from here","Simple Directions","A1"
"Det er den femtende maj","It's the fifteenth of May","Numbers/Time","A1"
"Det er dårligt","It's bad","Basic Communication","A1"
"Det er en myte, at alle danskere er blonde og blåøjede","It's a myth that all Danes are blonde and blue-eyed","Cultural Insights & Customs","B2"
"Det er en overraskelse","It's a surprise","Celebrations","A1"
"Det er en smuk dag","It's a beautiful day","Weather","A1"
"Det er for dyrt","It's too expensive","Basic Shopping","A1"
"Det er for koldt","It's too cold","Weather","A1"
"Det er for varmt","It's too hot","Weather","A1"
"Det er foran hotellet","It's in front of the hotel","Simple Directions","A1"
"Det er forkert","That's wrong","Basic Communication","A1"
"Det er fuldt","It's full","Basic Communication","A1"
"Det er færdigt","It's finished","Basic Communication","A1"
"Det er gammelt","It's old","Basic Communication","A1"
"Det er godt","It's good","Basic Communication","A1"
"Det er grimt","It's ugly","Basic Communication","A1"
"Det er hurtigt","It's fast","Basic Communication","A1"
"Det er ikke færdigt","It's not finished","Basic Communication","A1"
"Det er ikke nødvendigt","It's not necessary","Basic Communication","A1"
"Det er ikke sandt","That's not true","Basic Communication","A1"
"Det er ikke til at stikke en knappenål imellem","You can't stick a pin between it (idiom: there's no difference/it's perfect)","Idiomatic Expressions","B2"
"Det er ikke vigtigt","It's not important","Basic Communication","A1"
"Det er interessant","It's interesting","Basic Communication","A1"
"Det er interessant, men jeg er ikke helt enig","It's interesting, but I don't completely agree","Personal Opinions","A2"
"Det er kedeligt","It's boring","Basic Communication","A1"
"Det er koldt","It's cold","Basic Communication","A1"
"Det er koldt i dag","It's cold today","Weather","A1"
"Det er langsomt","It's slow","Basic Communication","A1"
"Det er langt væk","It's far away","Simple Directions","A1"
"Det er let","It's light","Basic Communication","A1"
"Det er lige til højrebenet","It's right up your alley (idiom: it's perfect for you/straightforward)","Idiomatic Expressions","B2"
"Det er lille","It's small","Basic Communication","A1"
"Det er lukket","It's closed","Basic Communication","A1"
"Det er mandag i dag","It's Monday today","Numbers/Time","A1"
"Det er mellem posthuset og apoteket","It's between the post office and the pharmacy","Simple Directions","A1"
"Det er min første gang i Danmark","It's my first time in Denmark","Basic Communication","A1"
"Det er mit postnummer","That is my postal code","Basic Communication","A1"
"Det er muligt","It's possible","Basic Communication","A1"
"Det er nemt","It's easy","Basic Communication","A1"
"Det er nyt","It's new","Basic Communication","A1"
"Det er okay","That's okay","Basic Communication","A1"
"Det er overfor kirken","It's across from the church","Simple Directions","A1"
"Det er overskyet","It's cloudy","Weather","A1"
"Det er på højre side","It's on the right side","Simple Directions","A1"
"Det er på venstre side","It's on the left side","Simple Directions","A1"
"Det er regnvejr","It's rainy weather","Weather","A1"
"Det er rent","It's clean","Basic Communication","A1"
"Det er rigtigt","That's right","Basic Communication","A1"
"Det er sandt","That's true","Basic Communication","A1"
"Det er sent","It's late","Basic Communication","A1"
"Det er sjovt","It's fun","Basic Communication","A1"
"Det er smukt","It's beautiful","Basic Communication","A1"
"Det er solskin","It's sunny","Weather","A1"
"Det er stort","It's big","Basic Communication","A1"
"Det er svært","It's difficult","Basic Communication","A1"
"Det er svært at vedligeholde venskaber, når man bor langt fra hinanden","It's difficult to maintain friendships when you live far apart","Emotions & Relationships","B1"
"Det er tidligt","It's early","Basic Communication","A1"
"Det er tomt","It's empty","Basic Communication","A1"
"Det er tordenvejr","It's thunderstorm weather","Weather","A1"
"Det er tungt","It's heavy","Basic Communication","A1"
"Det er tåget","It's foggy","Weather","A1"
"Det er tæt på","It's close by","Simple Directions","A1"
"Det er umuligt","It's impossible","Basic Communication","A1"
"Det er varmt","It's hot","Basic Communication","A1"
"Det er varmt i dag","It's warm today","Weather","A1"
"Det er ved siden af banken","It's next to the bank","Simple Directions","A1"
"Det er vigtigt","It's important","Basic Communication","A1"
