id,module,question,answer_option_1,answer_option_2
55743473-3c96-4f1e-b213-5d98aecafc1c,food_and_drink,"Hvad skal du have?","Jeg skal have en kop kaffe.","Jeg vil gerne have en kop kaffe."
3370da02-a693-442b-8d17-36afda1667b1,food_and_drink,"Hvad skal han have?","Han skal have to kopper kaffe.","Han vil gerne have to kopper kaffe."
a48e1735-191e-4237-a085-3180cac31748,food_and_drink,"Hvad skal hun have?","Hun skal have en kop te.","Hun vil gerne have en kop te."
16c77a43-940c-4f27-9abb-75edc327ba8b,food_and_drink,"Hvad skal I have?","Vi skal have to kopper te.","Vi vil gerne have to kopper te."
7e4aed87-2095-4fbc-891d-293a01bd6bf9,food_and_drink,"Hvad skal du have?","Jeg skal have et glas vin.","Jeg vil gerne have et glas vin."
d8a9ec36-261d-4318-8fb9-fe7b494970b5,food_and_drink,"Hvad skal I have?","Vi skal have to glas vin.","Vi vil gerne have to glas vin."
58d87bca-676a-4d65-8ec6-4f8c33e19575,food_and_drink,"Hvad skal hun have?","Hun skal have en øl.","Hun vil gerne have en øl."
4b4fba20-0aa3-451d-ae9d-0d9414014567,food_and_drink,"Hvad skal I have?","Vi skal have to øl.","Vi vil gerne have to øl."
84e0d7ab-6006-4ec8-9be2-fa911ff0a156,food_and_drink,"Hvad skal du have?","Jeg skal have en bolle med marmelade.","Jeg vil gerne have en bolle med marmelade."
33445c50-b432-4489-b524-11a1da05b72b,food_and_drink,"Hvad skal I have?","Vi skal have to boller med marmelade.","Vi vil gerne have to boller med marmelade."
adab1d60-0745-41fd-989e-d31f58464e0c,food_and_drink,"Hvad skal han have?","Han skal have en sandwich.","Han vil gerne have en sandwich."
0bfcf455-743e-429a-908a-7276d3f31176,food_and_drink,"Hvad skal de have?","De skal have to sandwich(er).","De vil gerne have to sandwich(er)."
5e8e29fb-413d-4401-b710-dd6381edcf6d,food_and_drink,"Hvad skal hun have?","Hun skal have en burger.","Hun vil gerne have en burger."
ca2d2eed-caf0-4d44-af9c-d9e1199060a2,food_and_drink,"Hvad skal I have?","Vi skal have to burgere.","Vi vil gerne have to burgere."
